co,no,no2,o3,so2,pm2_5,pm10,nh3,hour,day,month,season,aer_ai
0.0478436771848056,0.0660701446033394,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.3051183191256058,0.2980111107700807,0.0589707057719706,4,22,12,0,-0.4578949966653088
0.0478436771848056,0.0589198689781896,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.3042811833091626,0.2983436153995682,0.0668936998297251,5,22,12,0,-0.4578949966653088
0.0478436771848056,0.0392865702644403,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.2996887269640267,0.2925580348464852,0.0739479445390416,6,22,12,0,-0.4578949966653088
0.0478436771848056,0.0205320763761284,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.2427163288646787,0.2327583560971118,0.0572332070750946,7,22,12,0,-0.4578949966653088
0.0478436771848056,0.0147399536630182,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.2385070684918585,0.2267374645754683,0.0554609584042812,8,22,12,0,-0.4578949966653088
0.0478436771848056,0.0112646800351521,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.2350111421598104,0.2227525244774561,0.0607429544427841,9,22,12,0,-0.4578949966653088
0.0478436771848056,0.0274626507949189,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.2634265973376724,0.2581003243199001,0.1065086701184974,10,22,12,0,-0.4578949966653088
0.0478436771848056,0.0937524966046177,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.30327308313584,0.3079044023612944,0.1549153838134621,11,22,12,0,-0.4578949966653088
0.0478436771848056,0.2267915634736757,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.3186775612229258,0.3327348250002557,0.1989436007922994,12,22,12,0,-0.4578949966653088
0.0478436771848056,0.3249980027163058,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.3395882706660536,0.3618366532641723,0.2499913125065156,13,22,12,0,-0.4578949966653088
0.0478436771848056,0.317847727091156,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.3606286772075036,0.3885956027541614,0.2359175730618202,14,22,12,0,-0.4578949966653088
0.0478436771848056,0.2321442837740672,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.350064259016896,0.3755869985574414,0.1725336205997845,15,22,12,0,-0.4578949966653088
0.0478436771848056,0.0857234161540305,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.2776343249266033,0.292327839333763,0.1082809187893109,16,22,12,0,-0.4578949966653088
0.0478436771848056,0.0687465047535351,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.281554714489524,0.2953306119108273,0.081002189248358,17,22,12,0,-0.4578949966653088
0.0478436771848056,0.0607174243029479,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.2779467770271067,0.2884759010875459,0.0510477117142162,18,22,12,0,-0.4578949966653088
0.0478436771848056,0.0428617080770152,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.2636800962116657,0.2680856941162026,0.0299197275602043,19,22,12,0,-0.4578949966653088
0.0478436771848056,0.0299193097387552,0.0001285744482846,0.1234458684214202,0.0002856469072695,0.2652187754235789,0.2652517315818012,0.0285992285505785,20,22,12,0,-0.4578949966653088
